Caste Name
24 Manai Telugu Chettiar
96 Kuli Maratha
Aaru Nattu Vellala
Achirapakkam Chettiar
Ad Dharmi
Adi Andhra
Adi Dravidar
Adi Karnataka
Agamudayar / Arcot / Thuluva Vellala
Agaram Vellan Chettiar
Agarwal
Agnikula Kshatriya
Agrahari
Agri
Ahirwar
Ahom
Ambalavasi
Anjana (Chowdary) Patel
Aramari / Gabit
Arekatica
Arora
Arunthathiyar
Arya Vysya
Asathi
Ayira Vysya
Ayodhyavasi
Ayyaraka
Badaga
Baidya
Bairwa
Baishnab
Baishya
Balai
Balija
Balija Naidu
Balija Reddy
Banayat Oriya
Banik
Baniya
Baniya - Bania
Baniya - Kumuti
Banjara
Baori
Barai
Bargi
Bari
Baria
Barnwal
Barujibi
Bavaria
Bazigar
Beldar
Beri Chettiar
Besta
Bhand
Bhandari
Bhar
Bharbhunja
Bhatia
Bhatraju
Bhavasar Kshatriya
Bhil
Bhoi
Bhovi
Bhoyar
Bhulia / Meher
Billava
Bind
Bishnoi / Vishnoi
Bondili
Boyar
Brajastha Maithil
Brahmakshtriya
Brahmbatt
Brahmin - Anavil
Brahmin - Anaviln Desai
Brahmin - Audichya
Brahmin - Bagra
Brahmin - Baidhiki / Vaidhiki
Brahmin - Baragaon
Brahmin - Bardai
Brahmin - Barendra
Brahmin - Bhargav
Brahmin - Bhatt
Brahmin - Bhojak
Brahmin - Bhumihar
Brahmin - Chaubisa
Brahmin - Dadhich
Brahmin - Daivadnya
Brahmin - Dakaut
Brahmin - Danua
Brahmin - Deshastha
Brahmin - Dhiman
Brahmin - Dravida
Brahmin - Embrandiri
Brahmin - Garhwali
Brahmin - Gaur
Brahmin - Goswami / Gosavi
Brahmin - Gujar Gaur
Brahmin - Gurukkal
Brahmin - Halua
Brahmin - Havyaka
Brahmin - Hoysala
Brahmin - Iyengar
Brahmin - Iyer
Brahmin - Jangid
Brahmin - Jhadua
Brahmin - Jyotish
Brahmin - Kanyakubj
Brahmin - Karhade
Brahmin - Khadayata
Brahmin - Khandelwal
Brahmin - Khedaval
Brahmin - Kokanastha
Brahmin - Kota
Brahmin - Koteshwara / Kota (Madhva)
Brahmin - Kulin
Brahmin - Kumaoni
Brahmin - Madhwa
Brahmin - Maithil
Brahmin - Mevada
Brahmin - Modh
Brahmin - Mohyal
Brahmin - Nagar
Brahmin - Namboodiri
Brahmin - Narmadiya
Brahmin - Niyogi
Brahmin - Paliwal
Brahmin - Panda
Brahmin - Pandit
Brahmin - Panicker
Brahmin - Pareek
Brahmin - Pushkarna
Brahmin - Rajgor
Brahmin - Rarhi
Brahmin - Rarhi / Radhi
Brahmin - Rigvedi
Brahmin - Rudraj
Brahmin - Sakaldwipi
Brahmin - Sanadya
Brahmin - Sanketi
Brahmin - Saraswat
Brahmin - Sarua
Brahmin - Saryuparin
Brahmin - Shivalli (Madhva)
Brahmin - Shivhalli
Brahmin - Shri Gaud
Brahmin - Shri Mali
Brahmin - Shrimali
Brahmin - Shukla Yajurvedi
Brahmin - Sikhwal
Brahmin - Smartha
Brahmin - Sri Vaishnava
Brahmin - Stanika
Brahmin - Tapodhan
Brahmin - Tyagi
Brahmin - Vaidiki
Brahmin - Vaikhanasa
Brahmin - Valam
Brahmin - Velanadu
Brahmin - Vyas
Brahmin - Zalora
Bunt (Shetty)
CKP
Chakkala Nair
Chalawadi and Holeya
Chambhar
Chandravanshi Kahar
Charan
Chasa
Chattada Sri Vaishnava
Chaturth
Chaudary
Chaurasia
Chennadasar
Cherakula Vellalar
Chero
Chettiar
Chhetri
Chippolu (Mera)
Choudhary
Coorgi
Dasapalanjika / Kannada Saineegar
Deshmukh
Desikar
Desikar Thanjavur
Devadiga
Devandra Kula Vellalar
Devang Koshthi
Devanga
Devanga Chettiar
Devar / Thevar / Mukkulathor
Devrukhe Brahmin
Dhakad
Dhanak
Dhangar
Dhanka
Dhanuk
Dheevara
Dhiman
Dhoba
Dhor / Kakkayya
Dommala
Don't wish to specify
Dosar / Dusra
Dumal
Dusadh (Paswan)
Ediga
Ediga / Goud (Balija)
Elur Chetty
Ezhava
Ezhava Panicker
Ezhava Thandan
Ezhuthachan
Gabit
Gahoi
Gajula / Kavarai
Ganda
Gandha Vanika
Gandharb
Gandla
Gandla / Ganiga
Ganiga
Garhwali
Garo / Garoda
Gatti
Gavandi
Gavara
Gavaria
Gawali
Ghisadi
Ghumar
Goala
Goan
Gomantak
Gond
Gondhali
Gopal / Gopala
Goud
Gounder
Gounder - Kongu Vellala Gounder
Gounder - Nattu Gounder
Gounder - Others
Gounder - Urali Gounder
Gounder - Vanniya Kula Kshatriyar
Gounder - Vettuva Gounder
Gowda
Gowda - Kuruba Gowda
Gramani
Gudia
Gujjar
Gulahre
Gupta
Guptan
Gurav
Gurjar
Haihaivanshi
Halba Koshti
Heggade
Helava
Holar
Hugar (Jeer)
Illaththu Pillai
Intercaste
Irani
Isai Vellalar
Jaalari
Jaiswal
Jandra
Jangam
Jangra - Brahmin
Jat
Jatav
Jetty / Malla
Jhadav
Jijhotia Brahmin
Jingar
Jogi (Nath)
Julaha
Kachara
Kadava Patel
Kadia
Kahar
Kaibarta
Kaikaala
Kalal
Kalanji
Kalar
Kalbelia
Kalita
Kalinga
Kalinga Vysya
Kalwar
Kamboj
Kamma
Kamma Naidu
Kanakkan Padanna
Kandara
Kandera
Kanjar
Kansari
Kansyakaar
Kanykubj Bania
Kapu
Kapu Naidu
Kapu Reddy
Karakala Bhakthula
Karana
Karkathar
Karmakar
Karni Bhakthula
Karuneegar
Kasar
Kasaundhan
Kasera
Kashyap
Kasukara
Katiya
Kavara
Kavuthiyya / Ezhavathy
Kayastha
Kayastha (Bengali)
Kerala Mudali
Keshri (Kesarwani)
Khandayat
Khandelwal
Kharwa
Kharwar
Khatik
Khatri
Kirar
Kodava
Kodikal Pillai
Kokanastha Maratha
Kokna
Koli
Koli Mahadev
Koli Patel
Komti / Arya Vaishya
Kongu Chettiar
Kongu Nadar
Kongu Vellala Gounder
Konkani
Korama
Kori
Kori / Koli
Kosthi
Krishnavaka
Kshatriya
Kshatriya Kurmi
Kshatriya Raju
Kudumbi
Kulal
Kulalar
Kulita
Kumaoni Rajput
Kumawat
Kumbhakar
Kumbhar
Kumhar
Kummari
Kunbi
Kunbi Lonari
Kunbi Maratha
Kunbi Tirale
Kuravan
Kurmi
Kurmi / Kurmi Kshatriya
Kurni
Kuruba
Kuruhina Shetty
